Timestamp,Session ID,Referrer,Destination,Device Type,Total Time (seconds),Clicks,IP,City,Proxy,Status,Error Reason
2026-01-29 13:21:53,a88d5f05,https://91mobiles.com,https://www.timesofindiadigital.com/?utm_source=Januskoncepts&utm_medium=google&utm_campaign=testing&utm_id=janus,mobile,81,1,176.227.240.55,,,SUCCESS,
2026-01-29 13:22:18,b882d385,https://x-rates.com,https://www.timesofindiadigital.com/?utm_source=Januskoncepts&utm_medium=google&utm_campaign=testing&utm_id=janus,desktop,106,0,176.227.240.55,,,SUCCESS,
2026-01-29 13:22:20,14ff3d93,https://www.pudhari.news,https://www.timesofindiadigital.com/?utm_source=Januskoncepts&utm_medium=google&utm_campaign=testing&utm_id=janus,mobile,108,2,176.227.240.55,,,SUCCESS,
2026-01-29 13:22:49,27e482e2,https://gadgetbridge.com,https://www.timesofindiadigital.com/?utm_source=Januskoncepts&utm_medium=google&utm_campaign=testing&utm_id=janus,mobile,137,2,176.227.240.55,,,SUCCESS,
2026-01-29 13:23:08,2c914299,https://pcmag.com,https://www.timesofindiadigital.com/?utm_source=Januskoncepts&utm_medium=google&utm_campaign=testing&utm_id=janus,desktop,155,0,176.227.240.55,,,SUCCESS,
2026-01-29 13:23:09,3632e5c0,https://timesofindia.indiatimes.com,https://www.timesofindiadigital.com/?utm_source=Januskoncepts&utm_medium=google&utm_campaign=testing&utm_id=janus,mobile,75,2,176.227.240.55,,,SUCCESS,
2026-01-29 13:23:40,58f0c9bf,https://equitymaster.com,https://www.timesofindiadigital.com/?utm_source=Januskoncepts&utm_medium=google&utm_campaign=testing&utm_id=janus,mobile,80,2,176.227.240.55,,,SUCCESS,
2026-01-29 13:24:06,35510f4e,https://vartamanjari.in,https://www.timesofindiadigital.com/?utm_source=Januskoncepts&utm_medium=google&utm_campaign=testing&utm_id=janus,mobile,25,0,176.227.240.59,,,FAIL,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://vartamanjari.in/
Call log:
  - navigating to ""https://vartamanjari.in/"", waiting until ""domcontentloaded""
"
2026-01-29 13:24:08,381c6fe2,https://tupaki.com,https://www.timesofindiadigital.com/?utm_source=Januskoncepts&utm_medium=google&utm_campaign=testing&utm_id=janus,desktop,109,2,176.227.240.55,,,SUCCESS,
2026-01-29 13:24:19,aeb33b16,https://www.outlookbusiness.com,https://www.timesofindiadigital.com/?utm_source=Januskoncepts&utm_medium=google&utm_campaign=testing&utm_id=janus,desktop,89,2,176.227.240.55,,,SUCCESS,
2026-01-29 13:24:33,0b3d9e12,https://www.goal.com/en-in,https://www.timesofindiadigital.com/?utm_source=Januskoncepts&utm_medium=google&utm_campaign=testing&utm_id=janus,mobile,84,2,176.227.240.55,,,SUCCESS,
2026-01-29 13:24:35,e1fed65c,https://gadgets360.com- Hindi,https://www.timesofindiadigital.com/?utm_source=Januskoncepts&utm_medium=google&utm_campaign=testing&utm_id=janus,desktop,2,0,176.227.240.59,,,FAIL,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://gadgets360.com- Hindi
Call log:
  - navigating to ""https://gadgets360.com- Hindi"", waiting until ""domcontentloaded""
"
2026-01-29 13:25:31,05b27e9a,https://dnaindia.com,https://www.timesofindiadigital.com/?utm_source=Januskoncepts&utm_medium=google&utm_campaign=testing&utm_id=janus,desktop,85,2,176.227.240.59,,,SUCCESS,
2026-01-29 13:25:38,90df027f,https://idiva.com,https://www.timesofindiadigital.com/?utm_source=Januskoncepts&utm_medium=google&utm_campaign=testing&utm_id=janus,mobile,90,2,176.227.240.59,,,SUCCESS,
2026-01-29 13:25:40,d5b57bac,https://finance.yahoo.com,https://www.timesofindiadigital.com/?utm_source=Januskoncepts&utm_medium=google&utm_campaign=testing&utm_id=janus,mobile,151,2,176.227.240.55,,,SUCCESS,
2026-01-29 13:25:51,8de3c353,https://tv9bangla.com,https://www.timesofindiadigital.com/?utm_source=Januskoncepts&utm_medium=google&utm_campaign=testing&utm_id=janus,mobile,92,3,176.227.240.59,,,SUCCESS,
2026-01-29 13:26:32,11371a8b,https://geeky-gadgets.com,https://www.timesofindiadigital.com/?utm_source=Januskoncepts&utm_medium=google&utm_campaign=testing&utm_id=janus,mobile,117,1,176.227.240.59,,,SUCCESS,
2026-01-29 13:26:59,72ccec57,https://www.ap7am.com,https://www.timesofindiadigital.com/?utm_source=Januskoncepts&utm_medium=google&utm_campaign=testing&utm_id=janus,mobile,87,3,176.227.240.59,,,SUCCESS,
2026-01-29 13:27:27,b358d077,https://keralaspeaks.news,https://www.timesofindiadigital.com/?utm_source=Januskoncepts&utm_medium=google&utm_campaign=testing&utm_id=janus,desktop,106,1,176.227.240.59,,,SUCCESS,
2026-01-29 13:27:38,811d83d0,https://thewire.in,https://www.timesofindiadigital.com/?utm_source=Januskoncepts&utm_medium=google&utm_campaign=testing&utm_id=janus,desktop,119,2,176.227.240.59,,,SUCCESS,
2026-01-29 13:27:45,e0b3165a,https://www.nytimes.com,https://www.timesofindiadigital.com/?utm_source=Januskoncepts&utm_medium=google&utm_campaign=testing&utm_id=janus,mobile,113,2,176.227.240.59,,,SUCCESS,
2026-01-29 13:28:20,7b2ac7ad,https://yummytummyaarthi.com,https://www.timesofindiadigital.com/?utm_source=Januskoncepts&utm_medium=google&utm_campaign=testing&utm_id=janus,mobile,107,1,176.227.240.59,,,SUCCESS,
2026-01-29 13:29:00,116c7c57,https://ahealthysliceoflife.com,https://www.timesofindiadigital.com/?utm_source=Januskoncepts&utm_medium=google&utm_campaign=testing&utm_id=janus,mobile,121,2,176.227.240.59,,,SUCCESS,
2026-01-29 13:29:01,a911796c,https://india.com,https://www.timesofindiadigital.com/?utm_source=Januskoncepts&utm_medium=google&utm_campaign=testing&utm_id=janus,mobile,94,1,176.227.240.59,,,SUCCESS,
2026-01-29 13:29:02,0feb8a5b,https://healthmeup.com,https://www.timesofindiadigital.com/?utm_source=Januskoncepts&utm_medium=google&utm_campaign=testing&utm_id=janus,desktop,2,0,176.227.240.61,,,FAIL,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://healthmeup.com/
Call log:
  - navigating to ""https://healthmeup.com/"", waiting until ""domcontentloaded""
"
